,Muslim,Sunni,Shia,Christian,Catholic,Orthodox,Protestant,Hindu,Buddhist,None,Mixed,Jewish,Religion,Sect,,,,,,,,literacy,,,GINI,,,,,,,,,,
Tajikistan,0.98,0.95,,,,,,,,,,,Muslim,Sunni,,0.615023686,Poland,,,,,,,,,,,,,,,,,,
Tanzania,,,,0.614,,,,,,,,,Christian,N/A,,0.366256046,Kazakhstan,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,0.946,,,,Buddhist,N/A,,0.720249197,Tokelau,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,0.996,0.976,,,,,,,,Christian,Catholic,,0.84499358,Chad,,,,,,,,,,,,,,,,,,
Togo,,,,0.437,,,,,,,,,Christian,N/A,,0.70996733,Guam,,,,,,,,,,,,,,,,,,
Tokelau,,,,0.992,,,0.504,,,,,,Christian,Protestant,,0.199180697,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,
Tonga,,,,0.969,,,0.641,,,,,,Christian,Protestant,,0.178553439,San Marino,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,0.552,,,,,,,,,Christian,N/A,,0.148834863,Bhutan,,,,,,,,,,,,,,,,,,
Tunisia,0.991,0.891,,,,,,,,,,,Muslim,Sunni,,0.468385342,Cocos (Keeling) Islands,,,,,,,,,,,,,,,,,,
Turkey,0.998,0.898,,,,,,,,,,,Muslim,Sunni,,0.734914548,Uganda,,,,,,,,,,,,,,,,,,
Turkmenistand,0.89,,,,,,,,,,,,Muslim,N/A,,0.634431048,Liechtenstein,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,0.86,,,0.728,,,,,,Christian,Protestant,,0.595407801,Syria,,,,,,,,,,,,,,,,,,
Tuvalu,,,,0.947,,,0.924,,,,,,Christian,Protestant,,0.170983181,Suriname,,,,,,,,,,,,,,,,,,
Uganda,,,,0.844,,,0.451,,,,,,Christian,Protestant,,0.832795321,Haiti,,,,,,,,,,,,,,,,,,
Ukraine,,,,0.6,,0.5,,,,,,,Christian,Orthodox,,0.96328891,Finland,,,,,,,,,,,,,,,,,,
United Arab Emirates,0.76,,,,,,,,,,,,Muslim,N/A,,0.957022913,Burkina Faso,,,,,,,,,,,,,,,,,,
United Kingdom,,,,0.595,,,,,,,,,Christian,N/A,,0.055434212,Tuvalu,,,,,,,,,,,,,,,,,,
United States,,,,0.706,,,0.465,,,,,,Christian,Protestant,,0.985532665,Tunisia,,,,,,,,,,,,,,,,,,
Uruguay,,,,0.814,0.471,,,,,,,,Christian,Catholic,,0.900421911,Sao Tome and Principe,,,,,,,,,,,,,,,,,,
Uzbekistan,0.88,0.78,,,,,,,,,,,Muslim,Sunni,,0.955685992,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,
Vanuatu,,,,0.824,,,0.7,,,,,,Christian,Protestant,,0.613693435,"Gambia, The",,,,,,,,,,,,,,,,,,
Venezuela,,,,0.98,0.96,,,,,,,,Christian,Catholic,,0.045261346,Serbia,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,0.818,,,None,N/A,,0.231954319,Czechia,,,,,,,,,,,,,,,,,,
Virgin Islands,,,,0.93,,,0.59,,,,,,Christian,Protestant,,0.788135083,Nauru,,,,,,,,,,,,,,,,,,
Wallis and Futuna,,,,0.99,0.99,,,,,,,,Christian,Catholic,,0.613280095,South Africa,,,,,,,,,,,,,,,,,,
West Bank,0.825,0.725,,,,,,,,,,,Muslim,Sunni,,0.481371243,Cameroon,,,,,,,,,,,,,,,,,,
Western Sahara,0.6,,,,,,,,,,,,Muslim,N/A,,0.264499769,Norway,,,,,,,,,,,,,,,,,,
Yemen,0.991,0.65,,,,,,,,,,,Muslim,Sunni,,0.872281119,Lebanon,,,,,,,,,,,,,,,,,,
Zambia,,,,0.937,,,0.735,,,,,,Christian,Protestant,,0.463868539,Saint Lucia,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,0.874,,,0.748,,,,,,Christian,Protestant,,0.701776115,Burma,,,,,,,,,,,,,,,,,,
