Country,Population,Literacy,Schooling,Per_Cap_Inc_2017,GINI,Medical_Exp,Doctors,Hosp_Beds,Religion,Sect,Urbanization,Obseity,Infant_Mort,Mort_Under_5,Life_Exp
MKD,2083459,97.8,13,14900,35.2,6.3,2.87,4.4,Christian,Orthodox,58.5,22.4,7.4,11.5,76.3
NOR,5378857,99,18,72100,26.8,10.5,4.63,3.8,Christian,Protestant,83,23.1,2.5,2.5,82.1
OMN,4974986,96.1,15,46000,#N/A,4.3,1.97,1.6,Muslim,Sunni,86.3,27,11.7,11.4,76.3
PAK,216565318,59.1,8,5400,30.7,2.8,0.98,0.6,Muslim,Sunni,37.2,8.6,52.3,69.3,69.2
PAN,4246439,94.1,13,25400,50.7,7.3,1.57,2.3,Christian,Catholic,68.4,22.7,9.1,15.3,79.2
PNG,8776109,61.6,11,3700,50.9,2,0.05,4,Christian,Protestant,13.3,21.3,33.2,47.8,67.8
PRY,7044636,94.7,12,12800,51.7,8,1.37,1.3,Christian,Catholic,62.2,20.3,16.9,20.2,77.9
PER,32510453,94.1,15,13500,45.3,5.1,1.27,1.6,Christian,Catholic,78.3,19.7,16.7,14.3,74.7
PHL,108116615,96.4,13,8400,44.4,4.4,1.28,1,Christian,Catholic,47.4,6.4,20,28.4,70
POL,37887768,98.7,16,29600,30.8,6.5,2.4,6.5,Christian,Catholic,60,23.1,4.3,4.4,78.3
PRT,10226187,94.5,16,30500,33.9,9.1,3.34,3.4,Christian,Catholic,66.3,20.8,2.6,3.7,81.1
PRI,2933408,92.4,16,39400,#N/A,10.5,2.89,3.32,Christian,Catholic,93.6,29,6,8.9,81.3
QAT,2832067,89,12,124100,#N/A,3.1,2.78,1.2,Muslim,N/A,99.2,35.1,5.7,6.8,79.4
ROU,19364557,98.6,14,24600,27.3,5,2.26,6.3,Christian,Orthodox,54.2,22.5,8.7,7.3,76
RUS,145872256,99.7,16,27900,41.2,5.3,4.01,8.2,None,N/A,74.8,23.1,6.5,7.2,71.9
RWA,12626950,70.8,11,2100,50.4,6.8,0.13,1.6,Christian,Protestant,17.4,5.8,28,35.3,65.1
SAU,34268528,94.4,17,54500,45.9,5.7,2.39,2.7,Muslim,Sunni,84.3,35.4,11.3,7.1,76.2
SEN,16296364,51.9,9,3500,40.3,5.5,0.07,0.3,Muslim,N/A,48.1,8.8,45.7,43.6,63.2
SRB,8772235,98.8,15,15100,38.7,9.1,3.13,5.7,Christian,Orthodox,56.4,21.5,5.6,5.5,76.3
SLE,7813215,32.4,11,1600,34,16.5,0.03,0.4,Muslim,N/A,42.9,8.7,63.6,105.1,59.8
SGP,5804337,97,16,94100,45.9,4.3,2.31,2.4,Mixed,N/A,100,6.1,2.3,2.8,86
SVK,5457013,99.6,15,33100,23.7,7.1,2.46,5.8,Christian,Catholic,53.8,20.5,4.9,5.6,77.8
SVN,2078654,99.7,17,34500,24.4,8.5,2.81,4.6,Christian,Catholic,55.1,20.2,1.7,2.1,81.4
SOM,15442905,5.4,2,500,#N/A,35,0.02,8.7,Muslim,Sunni,46.1,8.3,89.5,121.5,54
ZAF,58558270,94.4,14,13600,62.5,8.1,0.91,2.8,Christian,N/A,67.4,28.3,27.8,33.8,64.8
ESP,46736776,98.3,18,38400,35.9,9,4.07,3,Christian,Catholic,80.8,23.8,3.2,3,82
LKA,21323733,91.9,14,12900,39.2,3.9,0.96,3.6,Buddhist,N/A,18.7,5.2,7.8,7.4,77.5
SDN,42813238,53.5,8,4300,#N/A,5.7,0.41,0.8,Muslim,Sunni,35.3,6.6,41.8,60.5,66.5
SWE,10036379,99,19,51200,24.9,10.9,5.4,2.4,Christian,Protestant,88,20.6,2.6,2.7,82.4
CHE,8591365,99,16,62100,29.5,12.2,4.24,4.7,Christian,N/A,73.9,19.5,3.5,4.1,82.8
SYR,17070135,80.4,9,2900,35.8,3.2,1.22,1.5,Muslim,Sunni,55.5,27.8,16.5,16.7,73.7
TWN,23773876,99,N/A,50500,33.6,6.4,1.33,7,Mixed,N/A,78.9,44.5,4.2,4.6,80.6
TJK,9321018,99.8,11,3200,32.6,7,1.7,4.8,Muslim,Sunni,27.5,14.2,28.8,34.8,69
TZA,58005463,77.9,8,3200,37.6,4.1,0.04,0.7,Christian,N/A,35.2,8.4,36.4,53,63.9
THA,69037513,92.9,15,17900,44.5,3.7,0.81,2.1,Buddhist,N/A,51.4,10,8.6,9.1,75.6
TLS,1293119,58.3,13,6000,31.9,4,0.72,5.9,Christian,Catholic,31.3,3.8,31.7,45.8,69.3
TGO,8082366,63.7,13,1700,46,6.6,0.05,0.7,Christian,N/A,42.8,8.4,38.5,69.8,66.6
TTO,1394973,96.9,12,31300,40.3,6.5,2.67,3,Christian,N/A,53.2,18.6,20.1,18.3,73.9
TUN,11694719,79,15,11900,40,7,1.27,2.2,Muslim,Sunni,69.6,26.9,11,17,76.3
TUR,83429615,96.2,18,27000,40.2,4.3,1.76,2.7,Muslim,Sunni,76.1,32.1,15.8,10.6,75.7
TKM,5942089,99.7,11,18200,40.8,6.6,2.22,7.4,Muslim,N/A,52.5,18.6,30.8,45.8,71.3
UGA,44269594,70.2,10,2400,39.5,6.2,0.09,0.5,Christian,Protestant,25,5.3,32.6,46.4,68.2
UKR,43993638,100,15,8800,25.5,6.7,3.01,8.8,Christian,Orthodox,69.6,24.1,7.4,8.7,72.9
ARE,9770529,90,14,68600,#N/A,3.5,2.39,1.2,Muslim,N/A,87,31.7,5.3,7.6,79
GBR,67530172,99,19,44300,32.4,9.8,2.81,2.8,Christian,N/A,83.9,27.8,4.1,4.3,81.1
USA,329064917,99,16,59800,45,17.1,2.59,2.9,Christian,Protestant,82.7,36.2,5.3,6.5,80.3
URY,3461734,98.6,16,22400,41.6,9.1,5.05,2.8,Christian,Catholic,95.5,27.9,7.8,7.6,77.9
UZB,32981716,100,12,6900,36.8,6.3,2.37,4,Muslim,Sunni,50.4,16.6,16.3,21.4,74.8
VEN,28515829,97.1,14,12500,39,3.2,1.94,0.8,Christian,Catholic,88.3,25.6,27.9,24.5,71
VNM,96462106,95,10,6900,34.8,5.7,0.82,2.6,None,N/A,37.3,2.1,15.7,20.7,74.4
PSE,4981420,96.9,13,4300,34.5,3.2,1.3,1.3,Muslim,Sunni,76.7,26.8,12.8,20.3,75.9
YEM,29161922,54.1,9,2500,37.9,5.6,0.31,0.7,Muslim,Sunni,37.9,17.1,41.9,55,66.9
ZMB,17861030,83,14,4000,57.5,4.5,0.09,2,Christian,Protestant,44.6,8.1,56,57.8,53.6
ZWE,14645468,88.7,10,2300,43.2,9.4,0.08,1.7,Christian,Protestant,32.2,15.5,30.3,46.2,62.3
